frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
624000,1.3114647376537323,-0.0034281170088797806,0.33143200855867894,1.3031279850006103,0.874669200181961,4.61,10.0,78,0.011513929590582847,288.79,0.0,220
632000,1.2974864077568053,-0.004886634894064628,0.37114477083747943,1.4106868118047715,0.8525033342838287,4.77,10.0,79,0.013627753974869847,295.15,0.0,221
640000,1.307656056880951,-0.0003407408764178399,0.345455269449478,1.4428131628036498,0.8621177667379379,4.56,10.0,80,0.014247292885556817,290.62,0.0,221
648000,1.2974955391883851,-0.003229862501248135,0.3125989403893891,1.2770332437753678,0.891415170431137,4.42,10.0,81,0.011074823297094553,288.07,0.0,220
656000,1.304500539302826,-0.002211833003675565,0.3862869455065885,1.549618468284607,0.8243976891040802,4.82,10.0,82,0.016820796707179397,301.54,0.0,220
664000,1.3264861142635345,0.0014891100347449537,0.30058572988088994,1.2407623273134232,0.8702770400047303,4.29,10.0,83,0.010701292286394165,280.6,0.0,220
672000,1.3055097544193268,-0.004349782320787199,0.3508516304317537,1.3901601821184157,0.8691420584917069,4.39,10.0,84,0.01284515816019848,284.34,0.0,220
680000,1.2895387256145476,-0.0014341927971690894,0.33775088521722824,1.4959526342153548,0.8420169007778168,4.16,10.0,85,0.01515041307080537,279.4,0.0,220
688000,1.2692444252967834,-0.006390826016577193,0.4052481751137265,1.6047411286830902,0.8405946677923203,4.31,9.0,86,0.017111187749542296,286.91,0.0,221
696000,1.2836477482318878,-0.003855335909174755,0.3433008473534458,1.4102001041173935,0.8601787978410721,4.77,9.100000000000009,87,0.013523158123716713,303.99,0.9000000000000004,221
704000,1.2753626525402069,-0.01093103195016738,0.5140570846664605,1.5466890674829483,0.8440542602539063,5.0,10.0,88,0.02357878680806607,312.79,2.0,221
712000,1.267093141078949,-0.0009805052442243322,0.378156430417487,1.4796004790067672,0.8395630437135696,5.07,10.0,89,0.01459568542195484,314.45,2.0,221
720000,1.1997858464717865,-0.006080777881434188,0.46164367694473474,1.7748169499635695,0.7515957951545715,4.75,9.100000000000009,90,0.021032793195918203,311.12,2.0,221
728000,1.2396876978874207,-0.0015431653568521143,0.38345849451906916,1.5472146993875504,0.8164434051513672,5.12,10.0,91,0.0160903145885095,321.91,1.9000000000000004,221
736000,1.2751186549663545,-0.004066027764929458,0.44134925794056584,1.5580022525787354,0.8231949931383133,5.38,9.100000000000009,92,0.018118749987334013,332.64,1.9000000000000004,221
744000,1.274178067445755,-0.0022746567329159006,0.3587515614098485,1.394000562429428,0.868115776181221,5.54,10.0,93,0.012909812142606825,335.5,1.9000000000000004,221
752000,1.2954368615150451,-0.0020484313490305795,0.3158146562431163,1.3001733434200287,0.887923719882965,5.57,10.0,94,0.011341025342699141,329.48,1.9000000000000004,221
760000,1.29096728682518,-0.0030824801325798033,0.38708166899581237,1.5221983456611634,0.8487529873847961,5.53,10.0,95,0.015369769791141153,326.65,2.0,222
768000,1.2606936192512512,-0.003797048876294866,0.45334578455886065,1.7529868435859681,0.7824221229553223,5.31,10.0,96,0.02046123779844493,317.91,2.0,222
776000,1.2187527763843535,-0.0049834481079597025,0.3934779004059063,1.5107962453365327,0.8438391363620759,5.46,10.0,97,0.015506808664649725,319.75,2.0,222
784000,1.2337128853797912,-0.00355421078245854,0.41636515905068255,1.6139475780725479,0.7896090906858444,5.99,10.0,98,0.017358537325635554,334.55,2.0,222
792000,1.2186669585108758,-0.004334227602812462,0.5106411743961563,1.7452814257144929,0.7482489788532257,6.34,10.0,99,0.021189620927907528,352.59,2.0,222
800000,1.2479485833644868,-0.002172627693216782,0.37725529325968243,1.521534116268158,0.8185239338874817,6.67,11.0,100,0.015425679618492722,367.44,2.0,222
808000,1.2980797052383424,-0.0027309279947075995,0.3180652755741583,1.301093869805336,0.8879384261369705,6.4,11.0,101,0.011550935895647853,363.14,2.0,222
816000,1.267755823135376,-0.0012266435192577773,0.3716556871303134,1.4924374121427535,0.8559279894828796,6.34,12.0,102,0.015117080819327383,360.62,2.0,222
824000,1.2578994250297546,-0.004344011131324805,0.38977260522509055,1.5287992054224013,0.839187451004982,6.14,11.100000000000009,103,0.015426382534205913,352.76,2.0,222
832000,1.2598319828510285,-0.003293759609659901,0.45161768857821855,1.661675089597702,0.8345999193191528,6.17,11.0,104,0.018255875553004442,348.84,2.0,221
840000,1.253938753604889,-0.007120944515336305,0.422647716748645,1.6455455082654953,0.8149089491367341,6.26,11.0,105,0.017739754151552916,348.03,2.0,222
848000,1.2434431129693986,-0.0017217434339181637,0.39891744799510465,1.534816437959671,0.8252640467882156,6.37,11.0,106,0.01586293427273631,353.36,2.0,221
856000,1.1714929854869842,-0.005806414459366352,0.4381104490004305,1.6980425989627839,0.8079186582565308,6.94,11.0,107,0.0192912180442363,370.24,2.0,220
864000,1.143875607252121,-0.00729672018031124,0.447015113290135,1.6738838422298432,0.833224270939827,7.17,12.0,108,0.01848636609967798,378.85,1.9000000000000004,220
872000,1.2351758003234863,-0.0052828566881362345,0.4047352556541978,1.520371246933937,0.8258322983980179,7.24,12.100000000000009,109,0.015395292565226554,382.5,1.9000000000000004,220
880000,1.2468697774410247,-0.0016239415237214417,0.3694890101117413,1.4859694868326188,0.8577231508493424,7.4,13.0,110,0.014499952616170049,386.59,1.0,221
888000,1.2411196422576904,-0.004573823480241117,0.4743316786291932,1.790851912498474,0.7911442250013352,7.4,13.0,111,0.021112213558517397,388.6,1.9000000000000004,221
896000,1.2253295910358428,-0.004205943310225848,0.4555474041285042,1.720748130083084,0.8082627660036087,7.26,13.0,112,0.019386257845908403,383.63,2.0,221
904000,1.2008346688747407,-0.0036914005305152386,0.5122180939618842,1.8979898500442505,0.7666786712408066,7.76,13.100000000000009,113,0.02421694653108716,392.11,2.9000000000000004,221
912000,1.1963044357299806,-0.007537696890067309,0.4933767555132217,1.7788254046440124,0.7644484037160874,8.21,14.100000000000009,114,0.02071206151507795,402.29,4.0,221
920000,1.2228002893924712,-0.003804273736604955,0.4305396370065147,1.5920882350206376,0.8209309655427933,8.49,14.0,115,0.016696453406475485,413.47,4.0,221
928000,1.201810598373413,-0.00829580180143239,0.5201794665503667,1.926268585920334,0.7597015959024429,8.73,14.0,116,0.024236720707267522,418.25,5.0,221
936000,1.1715600049495698,-0.0055067420529667285,0.5171743932040177,1.7915255165100097,0.770703535079956,9.8,15.100000000000009,117,0.020961885172873736,437.65,5.0,222
944000,1.1975359058380126,-0.0033166247862391174,0.47736779877896934,1.7370221573114395,0.8042025607824326,9.51,14.100000000000009,118,0.019971912973560393,432.32,5.0,222
952000,1.2026940870285034,-0.0059368095879472095,0.49833295402019806,1.796636255979538,0.7590607357025146,9.41,14.0,119,0.021590051115490495,433.04,5.0,222
960000,1.2099044573307038,-0.00767996837181272,0.5453703920905085,1.8376514160633086,0.7376377093791961,9.37,14.0,120,0.024295537155121564,429.76,5.0,222
968000,1.210882670879364,-0.0049864598427666355,0.4480367624168683,1.6251970541477203,0.805209333896637,9.31,14.100000000000009,121,0.017064650133252143,429.44,5.0,222
976000,1.1788409769535064,-0.0074561725210514854,0.45975812868513677,1.7069594526290894,0.8132371002435684,9.23,15.0,122,0.019009035895578563,442.6,5.0,222
984000,1.2029809069633484,-0.004051281779902638,0.47542994489661794,1.7715967631340026,0.7750615048408508,9.55,15.0,123,0.020562117993831633,445.27,5.0,222
992000,1.2011227989196778,-0.00359349430014845,0.43500382738566323,1.7352005130052566,0.7970084464550018,10.1,16.0,124,0.019752102219499648,451.28,5.0,223
1000000,1.1712209928035735,-0.0074731962499208745,0.48803637263174876,1.815362640619278,0.7805806690454483,10.13,16.10000000000001,125,0.02181389565579593,445.7,5.0,223
1008000,1.1066206628084183,-0.008344347033707891,0.47158820743279345,1.8081992256641388,0.7419479668140412,10.46,16.10000000000001,126,0.021727602342143656,445.78,5.0,223
1016000,1.1349040800333023,-0.008004800143535249,0.5181514949457967,1.8280361664295197,0.7870234912633896,10.44,16.10000000000001,127,0.02187471666838974,433.87,5.0,222
1024000,1.1667636370658874,-0.003266770226182416,0.5250079302840495,1.7946311712265015,0.7824386888742447,10.85,16.0,128,0.02082434941083193,436.35,5.0,223
1032000,1.1713883519172668,-0.005747064693132416,0.49784933803523906,1.8886147356033325,0.7300756567716599,11.28,16.10000000000001,129,0.023458267408423127,448.69,5.9,223
1040000,1.1801865482330323,-0.005192254392313771,0.5137714890692591,1.9341379404067993,0.7354312342405319,11.54,17.0,130,0.024625600865110755,460.8,6.0,223
1048000,1.0813130652531981,-0.007339924125553807,0.6240647083320765,1.9456168472766877,0.5992352491617203,10.96,17.0,131,0.028026278214529157,454.28,5.9,223
1056000,1.17638525724411,-0.006688647577830125,0.5596512280011884,1.9262581443786622,0.704976875782013,11.08,17.0,132,0.024346852479502558,466.51,5.9,223
1064000,1.1815803623199463,-0.003830517001915723,0.5739732455285127,1.9729669725894927,0.701082615852356,11.51,17.0,133,0.025648480588570235,480.13,6.0,223
1072000,1.1730900967121125,-0.007036163453012705,0.5263177891920412,1.9305031025409698,0.7302595764398575,12.04,18.0,134,0.02444885455071926,486.46,6.0,223
1080000,1.1840981125831604,-0.007729966938495636,0.5315283648989693,1.9239249217510224,0.7471128630638123,11.92,18.200000000000017,135,0.024075513575226068,479.48,5.9,223
1088000,1.166074869632721,-0.011191357499701553,0.5988696582093241,1.930047727227211,0.7240776681900024,12.05,20.0,136,0.0244990165065974,478.61,5.0,223
1096000,1.1561277735233306,0.00021546075760852545,0.5455091190213949,1.9442823231220245,0.7247326701879502,13.13,21.0,137,0.025201606564223766,500.84,7.0,223
1104000,1.1432625842094422,-0.007641143534274306,0.5639343152881925,1.8941527444124222,0.7415939772129059,13.34,20.10000000000001,138,0.024123582085594536,502.26,7.0,223
1112000,1.119297418296337,-0.007125474611530081,0.5098248792924235,1.923909758925438,0.5030900824069977,12.82,19.10000000000001,139,0.025246910287532957,494.68,7.0,223
1120000,1.294949551820755,-0.0009632664627861232,0.24531147144065166,1.3045325972139836,-0.4685750389099121,7.57,18.10000000000001,140,0.015859536060652317,347.48,0.0,223
1128000,1.3197123968601228,0.0013193698550458067,0.20899605303710722,1.1906851498782636,-0.017612205743789675,1.87,5.0,141,0.013802965031609347,185.52,0.0,223
