frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
593920,802.5000000000002,272.5,563.0,58,-0.011549381534496205,1.7990065036678948,15.968719172477723,0.002180807252512112,462.05,1.691023986786604,236,0.133984375,0.8989785842597484,0.11160044479183853
604160,825.0,325.0,604.5,59,-0.010492127473844448,2.0963058938061705,15.968719297647477,0.0021675106971772895,465.66,1.6911042861640453,236,0.13505859375,0.8700860109180212,0.17536288192495703
614400,802.5000000000002,275.0,573.75,60,-0.010228694057150278,1.9389473799030206,15.968719333410263,0.0022692940157074066,443.73,1.6961357653141023,236,0.1328125,0.848429786786437,0.18078182144090532
624640,802.5000000000002,250.0,553.5,61,-0.010260592323902529,1.8757187606952463,15.968719297647477,0.002144440917072916,437.41,1.6982951067388057,236,0.1340087890625,0.866202474758029,0.16225490057840944
634880,775.0,247.5,524.75,62,-0.011257124926851247,1.6783618101464726,15.968719136714935,0.002244831633106812,441.58,1.6856829687952994,236,0.148876953125,0.873163715004921,0.12458452465943992
645120,775.0,225.0,511.75,63,-0.009947071704664268,1.9157464150473804,15.96871930360794,0.002049814972542918,446.58,1.7043579921126366,236,0.12890625,0.860083332657814,0.13535160918254405
655360,752.5000000000002,250.0,508.5,64,-0.011416734305021237,1.6074987024592855,15.968719148635865,0.002098736265270669,457.11,1.6971757166087627,236,0.1233642578125,0.9276199717074632,0.08121597792487592
665600,775.0,272.5,538.0,65,-0.010821656497500953,1.7150518539776212,15.96871942281723,0.0021911257191052683,467.5,1.6947171732783317,236,0.133349609375,0.9073254123330117,0.09634202469605953
675840,802.5000000000002,297.5,558.75,66,-0.01181984517170349,1.7365560066025771,15.968719387054444,0.0025140923531128513,476.06,1.6900283001363277,236,0.1535400390625,0.9083324648439884,0.13493762707803397
686080,852.5000000000002,275.0,564.0,67,-0.00943933901944547,1.9439745500022614,15.96871936917305,0.0020805894545847504,467.2,1.6914471969008447,236,0.135009765625,0.8661918308585882,0.1797808023635298
696320,875.0,322.5,581.5,68,-0.011275956602185033,1.9912433038987438,15.968719345331191,0.0024233713218566825,469.58,1.677779121696949,236,0.1371337890625,0.9021810412406921,0.14844603643286974
706560,875.0,297.5,563.0,69,-0.010983028071495936,1.8814447569435337,15.968719363212585,0.002598365720587327,463.13,1.6793802745640278,236,0.16767578125,0.877048559859395,0.17470834120176731
716800,805.0000000000005,297.5,549.25,70,-0.011372639499677461,1.7884841587303189,15.968719273805618,0.0020304802793250877,456.23,1.6852873772382737,236,0.1210205078125,0.9019851226359605,0.12667729905806482
727040,805.0000000000005,297.5,554.0,71,-0.011797884568659356,1.6579887702280085,15.968719148635865,0.002296901357988459,463.11,1.6886676669120788,236,0.14892578125,0.9141133598983288,0.12136853942647577
737280,805.0000000000005,275.0,561.25,72,-0.011627950664842502,1.7789263423886905,15.96871926188469,0.0025037893067294884,471.04,1.696533153951168,236,0.1500244140625,0.8817244213074446,0.14697920202743261
747520,800.0,272.5,574.0,73,-0.012132416487293084,1.8719016209726926,15.968719333410263,0.0022835402290982596,479.76,1.6983301758766174,236,0.1433837890625,0.8851601973176002,0.128729427466169
757760,777.5000000000002,275.0,577.25,74,-0.009671725813677767,2.202470701318325,15.968719172477723,0.0019701425570249646,471.71,1.696305114775896,236,0.12861328125,0.8525373972952366,0.1938488408923149
768000,775.0,275.0,559.75,75,-0.010760398380807602,1.8736179050472426,15.968719357252121,0.002052465199745087,461.72,1.684357336908579,236,0.12861328125,0.9050830341875553,0.12614476347807796
778240,775.0,325.0,564.75,76,-0.010994513501645996,1.8098927671067773,15.968719178438187,0.0023901670871512718,449.28,1.680958230048418,236,0.15390625,0.934502562880516,0.10301260615233332
788480,775.0,325.0,561.75,77,-0.010833575294964249,1.964738715675813,15.96871938109398,0.002266766922457761,444.09,1.687978894263506,236,0.140380859375,0.8844012726098299,0.14323143067304045
798720,775.0,325.0,609.75,78,-0.012578905220743763,1.7450912815260538,15.9687191426754,0.00254959655133037,457.74,1.6539671257138253,236,0.15703125,0.9454923763871192,0.08373169298283756
808960,777.5000000000002,372.5,632.0,79,-0.013973889092812896,1.7248331229311922,15.968719470500947,0.002852774537405226,470.06,1.646247425675392,236,0.16533203125,0.9279766719788313,0.09125751524697989
819200,777.5000000000002,375.0,638.25,80,-0.013736266843625344,1.7372043809507747,15.968719232082368,0.0029458815668707205,473.11,1.6633659936487675,236,0.189404296875,0.9196965865790844,0.09731340808793902
829440,775.0,422.5,639.0,81,-0.0110732244218525,1.9098928174137129,15.968719291687012,0.002639042222154184,476.37,1.6824604019522666,236,0.163916015625,0.9082665760070086,0.1438077091705054
839680,775.0,375.0,616.25,82,-0.011717863046214916,1.9440331084225817,15.96871924996376,0.002410315724705751,473.15,1.6735042609274386,237,0.1584716796875,0.8837136194109917,0.14791075815446675
849920,800.0,372.5,599.25,83,-0.013232740475359606,1.9866870584517407,15.968719267845154,0.002718073297387793,472.22,1.6630675993859767,236,0.1656005859375,0.8996808391064406,0.11297606234438717
860160,775.0,347.5,576.75,84,-0.014770975937426555,1.7643302173574136,15.96871924996376,0.002805465199435556,468.25,1.6503581799566747,237,0.18017578125,0.9515210196375847,0.0739922923501581
870400,775.0,347.5,579.25,85,-0.012281881802846329,1.8111393903825648,15.968719327449799,0.00266272951867026,469.55,1.6589262954890729,237,0.168603515625,0.9488909799605608,0.10376953415106982
880640,800.0,350.0,609.75,86,-0.013298085878341226,1.8053765606463181,15.968719363212585,0.0027817641137065567,485.56,1.6475853890180587,237,0.1802001953125,0.9288460370153189,0.1435712909908034
890880,800.0,350.0,608.5,87,-0.011483211400945947,1.9073376485336238,15.968719184398651,0.002792469147880513,485.71,1.6481080323457717,237,0.16357421875,0.9178439501672984,0.15898426850326358
901120,777.5000000000002,350.0,616.0,88,-0.013993264774398995,1.797269087505207,15.968719214200974,0.0031908014984768215,482.95,1.6520277202129363,236,0.1916748046875,0.9361469700932503,0.09032916629221291
911360,802.5000000000002,350.0,638.75,89,-0.01187363714343519,1.9433354811009724,15.968719160556793,0.002615637914800894,486.94,1.6590707741677762,237,0.1611328125,0.9218195509165525,0.13029079670086502
921600,825.0,350.0,626.25,90,-0.013746231288496346,1.8686893987255964,15.968719160556793,0.0026542041665837653,478.98,1.6571225099265576,237,0.173291015625,0.9166632447391748,0.14282414758345113
931840,825.0,350.0,654.0,91,-0.012165682113845833,1.9391985146980375,15.968719094991684,0.002603223574670076,481.69,1.6530334584414959,237,0.1650390625,0.8814592465758324,0.2864919231273234
942080,825.0,347.5,644.5,92,-0.01181123565256712,1.9647474538213987,15.968719106912612,0.002460687602320245,483.97,1.6697738036513328,236,0.1616943359375,0.8943655028939247,0.15364197334274649
952320,825.0,325.0,632.25,93,-0.013102562597487122,2.089786246372292,15.968719202280045,0.00222715788963825,482.55,1.6564537741243839,237,0.1484619140625,0.8863111604005098,0.1323724415851757
