frames,policy_entropy,episode_length,fps,advantage_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,value_loss,grad_norm
1032000,1.229736419916153,374.48,214,1.6626628428697585,0.8001344960927963,12.100000000000009,3.0,129,-0.0011906021916183818,7.57,0.018338936711661518,0.44631194807258145
1040000,1.2043092000484465,380.74,214,1.4912043887376785,0.8367424374818802,13.0,3.9000000000000004,130,-0.004570421196112875,7.94,0.015211990452371538,0.40226920968053287
1048000,1.2314163959026336,379.99,214,1.598217135667801,0.790881227850914,13.0,3.0,131,-0.0022827143827453254,7.84,0.017252747444435956,0.4115739359222333
1056000,1.2407501065731048,368.16,214,1.5330789303779602,0.8223929405212402,13.0,3.0,132,-0.005699187618447467,7.52,0.01593820485053584,0.4510986636236091
1064000,1.2356050062179564,366.69,214,1.5217039686441423,0.8253242033720016,13.0,3.0,133,-0.0015689349076092186,7.42,0.015402771607041359,0.4019095980091993
1072000,1.2383284306526183,354.38,214,1.5848835802078247,0.8222269809246063,13.0,3.0,134,-0.003960700973038911,7.16,0.01673762439750135,0.4413381511584669
1080000,1.2183572483062743,358.55,214,1.530830494761467,0.8332757091522217,12.0,3.0,135,-0.006391378374246415,7.03,0.015576615985482932,0.4360852846583077
1088000,1.2095385003089905,363.03,214,1.3823063886165619,0.8689527487754822,12.100000000000009,3.0,136,-0.0033241198188625276,7.4,0.012659985211212189,0.372552598841714
1096000,1.2282556045055388,376.17,214,1.5619984430074692,0.8148669618368148,13.0,3.0,137,-0.00045160297566326335,8.02,0.016211155545897783,0.4425165594552087
1104000,1.2232947289943694,379.04,214,1.7270200222730636,0.7903527176380157,13.0,4.0,138,-0.008714863577333745,8.18,0.020404481068253516,0.48907019016598224
1112000,1.206558700799942,390.08,214,1.660230911374092,0.7772091495990753,13.0,4.0,139,-0.0043910461728228255,8.36,0.018134578438475726,0.431187243641813
1120000,1.1642889642715455,396.82,214,1.6634852755069733,0.7932828652858734,14.0,4.0,140,-0.006266766466433182,8.59,0.01849891322199255,0.4715957037513641
1128000,1.1605713701248168,397.45,215,1.669755555987358,0.8064459848403931,14.0,4.0,141,-0.0041581078156013975,8.48,0.018269190080463887,0.4759497086551307
1136000,1.1441269624233246,404.5,215,1.6328791236877442,0.8165830224752426,14.0,4.0,142,-0.0025324862299021334,8.66,0.017342570540495216,0.43030375457981307
1144000,1.1874249875545502,411.19,215,1.664228282570839,0.798516354560852,14.0,4.0,143,-0.0062914147481205876,9.05,0.018809171207249165,0.4674963956876114
1152000,1.1173700276017189,409.7,215,1.5592523276805879,0.8146685439348221,15.0,3.0,144,-0.004068560195737519,9.06,0.01682248480618,0.4812194021429333
1160000,1.17698076069355,382.52,215,1.3455432152748108,0.857556421160698,15.0,1.0,145,-0.0016210614156443625,8.17,0.012511210264638067,0.37782215918540735
1168000,1.1813016867637633,386.67,215,1.6383285278081894,0.8056989634037017,16.0,1.0,146,-0.004815631415112875,8.46,0.018000821452587842,0.4612690340495116
1176000,1.1587979167699813,372.83,215,1.7492041403055192,0.7500433403253556,15.100000000000009,1.0,147,-0.005419834071508376,7.75,0.023795380829833446,0.563126439536422
1184000,1.1262756749987601,356.93,215,1.602376987338066,0.8003480392694473,13.0,1.0,148,-0.004157404463385319,7.1,0.017686245744116605,0.5033883866101547
1192000,1.1673851215839386,383.03,215,1.5030680191516876,0.8427651882171631,14.0,4.0,149,-0.0022462264103819507,8.15,0.015090275818947703,0.43747697397674634
1200000,1.2058684694767,382.23,215,1.5128063714504243,0.8356505465507508,14.0,4.0,150,-0.0035580911999568343,7.9,0.01513670158572495,0.40032163216328476
1208000,1.2337932538986207,384.39,216,1.5586350989341735,0.8321791195869446,13.0,4.0,151,-0.0004766628847573884,7.74,0.01632451702374965,0.40856088373473143
1216000,1.2274814021587372,396.97,215,1.6971518337726592,0.7938490164279938,14.0,4.0,152,-0.004314673645421862,8.2,0.01884459680877626,0.44514077617839803
1224000,1.219650685787201,404.7,216,1.616494432091713,0.8325109893083572,14.100000000000009,4.0,153,-0.005214200159243774,8.87,0.017441548528149723,0.4072779119203075
1232000,1.215098156929016,424.42,215,1.570372776389122,0.8288221389055253,15.0,5.0,154,-0.0029116459968508935,9.48,0.016466110306791962,0.41830025467158416
1240000,1.2085559034347535,432.93,216,1.755201399922371,0.7731730425357819,15.0,5.0,155,-0.007716525429277681,9.88,0.02037537089549005,0.46786274425049024
1248000,1.193585753440857,437.5,216,1.662147775888443,0.8110678166151046,15.100000000000009,5.0,156,-0.008531634286628105,10.1,0.01822438762523234,0.46168978008756445
