episode_length,PMM:episode_rewards,policy_loss,fps,frames,epoch_idx,grad_norm,policy_entropy,advantage_norm,value_loss,P01:episode_rewards,P09:episode_rewards,explained_variance
183.28,1.47,0.000266077509149909,944,1160000,145,0.10625153229573053,1.38219664812088,0.6000202286243439,0.003005521041486645,0.0,4.0,0.6366384083032608
195.03,1.69,0.00016459393242257647,944,1168000,146,0.10328555346201354,1.3840464842319489,0.5661262387037277,0.002829920982330805,0.0,5.0,0.63411561191082
205.34,1.96,-0.0007890546054113656,944,1176000,147,0.09055675442510693,1.3849511563777923,0.5192211756110191,0.0022839211279642767,0.0,5.0,0.27231924057006834
192.31,1.61,-4.6941327173044555e-06,944,1184000,148,0.10122674626089713,1.383555556535721,0.520831164419651,0.0023918090044026032,0.0,4.0,0.5966282820701599
183.61,1.36,-0.000218531626596814,944,1192000,149,0.10168200081244454,1.383743748664856,0.543274617344141,0.0026143018383299934,0.0,3.0,0.34235751152038574
182.71,1.36,0.0002471537035307847,944,1200000,150,0.11099187136992789,1.3846980679035186,0.6299879892915488,0.003500529755765456,0.0,3.0,0.4305174696445465
183.58,1.39,-0.00035821191821014506,944,1208000,151,0.09350418980645482,1.3848197412490846,0.5225783345103264,0.002309703358951083,0.0,3.0,0.026619839072227477
180.74,1.32,0.0005330676121229771,944,1216000,152,0.08101805224495802,1.3848422372341156,0.48506033651530744,0.002031608746765414,0.0,3.0,0.6752037674188613
186.03,1.44,-0.00017917500401381403,944,1224000,153,0.07923864035696865,1.383572859764099,0.4845517157018185,0.0020929314231398167,0.0,3.1000000000000085,0.5892597794532776
194.56,1.69,-9.415625056135468e-05,944,1232000,154,0.08833393301205333,1.382151461839676,0.4851996810734272,0.00208324426857871,0.0,4.0,0.568445553779602
192.87,1.65,0.0001594024872974842,944,1240000,155,0.09360915550634646,1.3813079845905305,0.5627665489912033,0.0027238879072683632,0.0,4.0,0.5719849979877472
192.69,1.64,-0.00010400830768048764,944,1248000,156,0.11309898775516712,1.3828059017658234,0.5921272496879101,0.0027910989223164507,0.0,4.0,0.1640952157974243
190.97,1.62,3.5529130982467905e-05,944,1256000,157,0.10469698991302273,1.3837429678440094,0.6249342270195484,0.0033696111953031506,0.0,4.0,0.6209947836399078
183.61,1.47,-0.00021692580671697214,944,1264000,158,0.07835400831531156,1.3838753473758698,0.453659577742219,0.0018303451679457794,0.0,3.0,0.5148400104045868
168.96,1.11,0.00018798603996401654,944,1272000,159,0.08384012781133948,1.3839860928058625,0.4582995143532753,0.0017873839346066235,0.0,3.0,0.44503119349479675
170.1,1.12,7.108200086804573e-05,944,1280000,160,0.09431652744202017,1.384806730747223,0.5339158909767866,0.0023961812655761607,0.0,3.0,0.2895296889543533
178.59,1.32,-0.000839143915072782,944,1288000,161,0.10959659637179577,1.3810548877716065,0.5813823913782835,0.0029162827750405995,0.0,3.0,0.267551132440567
178.91,1.3,-0.0003954686531506013,944,1296000,162,0.12476079923662153,1.3815571200847625,0.6236183497309685,0.003494843447697349,0.0,3.0,0.23566256046295167
