epoch_idx,frames,PMM:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,approx_kl_divergence,P01:episode_rewards,clip_fraction,value_loss,policy_loss,episode_length,explained_variance,fps,grad_norm
107,1095680,765.25,852.5000000000002,1.678220672160387,15.968719220161438,0.0021620502742283596,397.5,0.1455322265625,0.17198511043097825,-0.01118123308824579,533.35,0.9111104734241963,192,1.79499043038754
108,1105920,772.25,987.5000000000011,1.6665082983672619,15.968719184398651,0.002092258434140886,397.5,0.1291259765625,0.3514146616915241,-0.01094096811284544,535.67,0.8184189729392528,192,2.390001683743324
109,1116160,804.25,1115.0000000000014,1.6567608430981635,15.968719166517257,0.002410368567894145,400.0,0.151318359375,0.28577166274189947,-0.01304202799947234,536.1,0.8899096440523863,192,1.935521242234024
110,1126400,792.25,987.5000000000011,1.65633834451437,15.968719255924224,0.002651861046422636,400.0,0.1437744140625,0.16454012119211256,-0.01261414264808991,546.2,0.9236356962472201,192,1.9022211403534246
111,1136640,755.75,885.0000000000008,1.645458561182022,15.968719339370727,0.002386809756956513,400.0,0.1484130859375,0.17749600464012474,-0.010851220128461136,551.18,0.9116552382707596,192,2.0042717419498364
112,1146880,783.5,987.5000000000011,1.6590030096471309,15.968719321489335,0.0024157015269568962,422.5,0.15634765625,0.3123527009738609,-0.012492180080153048,557.59,0.899451396241784,192,1.6833928588334826
113,1157120,761.25,875.0,1.6603291034698486,15.968719291687012,0.002664770225897335,447.5,0.17099609375,0.10606350011657924,-0.014374366206902777,573.35,0.946608492359519,192,1.6827416849299417
114,1167360,813.5,887.500000000001,1.6685274995863437,15.968719029426575,0.00244193139845979,450.0,0.1619384765625,0.4922570020891726,-0.011621297879173653,583.27,0.865830585733056,192,1.962374356231393
115,1177600,846.25,1052.5000000000002,1.6613765046000482,15.968719154596329,0.002329563710259569,450.0,0.1447998046875,0.46573607102036474,-0.010769948976667365,574.83,0.8482211194932461,192,2.0857174966483925
116,1187840,892.25,1075.0,1.6579087868332862,15.968719172477723,0.0022936336018350434,450.0,0.1501953125,0.4636317839846015,-0.011702686503122095,577.86,0.8426491696387529,192,2.0239722522266748
117,1198080,950.5,1190.0000000000014,1.6542603544890881,15.968719202280045,0.002524454204013118,475.0,0.1634521484375,0.34800113798119126,-0.012742618549236796,584.48,0.887781048193574,192,2.185525072916036
118,1208320,961.25,1330.0000000000005,1.6614690080285073,15.968719279766082,0.002232403049902511,425.0,0.1510986328125,0.5681218923535198,-0.010307109509449219,565.97,0.806489261239767,192,2.472565816172733
119,1218560,1024.5,3702.5000000000005,1.641380576044321,15.968719285726547,0.0026666847137225003,422.5,0.182421875,0.4541080963797867,-0.011958951811902808,574.65,0.8144559372216463,192,2.2789963244312785
120,1228800,1029.25,3702.5000000000005,1.6649341888725757,15.968719267845154,0.0022818684681741156,425.0,0.154150390625,0.43847214174456894,-0.013455122069717617,579.79,0.845409145951271,192,1.8427535316574306
121,1239040,1013.5,1562.5000000000202,1.6555476047098636,15.968719309568405,0.0023465534634173175,425.0,0.1485595703125,0.4609422284178436,-0.013215150127507513,581.01,0.8347353644669055,192,1.9392523699208517
122,1249280,1036.25,1565.0000000000205,1.6476071663200855,15.968719232082368,0.0027730057309330878,425.0,0.1827880859375,0.4746436202665791,-0.014346869515793514,586.61,0.8925792876631021,192,2.1609393917160014
123,1259520,1072.5,3725.0,1.658140093833208,15.968719267845154,0.0025696172060864983,472.5,0.158935546875,0.5215460242703557,-0.012493228464154526,589.81,0.8457899175584316,192,2.153678625892082
124,1269760,1123.75,3730.0000000000005,1.6693843625485898,15.96871924996376,0.0024918003490032605,500.0,0.1486328125,0.3643880939343944,-0.012264142664207611,597.8,0.8639869499951601,192,1.8624133010260782
125,1280000,1103.5,3780.0000000000005,1.6701548650860787,15.968719297647477,0.0021198944069059297,450.0,0.1190673828125,0.9601783820893616,-0.009081247320136755,576.65,0.7343854926526546,192,2.7285469846676076
126,1290240,1110.0,3752.5000000000005,1.6615623980760574,15.968719315528869,0.002216375707121508,447.5,0.141552734375,0.08735447167418897,-0.014180590631440282,583.88,0.9546365816146135,192,1.848997438764289
127,1300480,1103.5,3757.500000000001,1.6530153147876263,15.96871924996376,0.002279200830958296,447.5,0.1366455078125,0.5188900063280016,-0.012053833734535146,589.71,0.8757378660142422,192,2.044253561398294
128,1310720,1162.75,3840.000000000001,1.6510011456906795,15.968719178438187,0.0021375747716550785,450.0,0.1501708984375,1.1897269922308624,-0.010724758235301123,595.1,0.6911996893584729,192,2.8155063497016575
129,1320960,1160.75,3825.0,1.6711413837969302,15.968719267845154,0.002209641891329621,425.0,0.1446533203125,0.37784817940555515,-0.012267978597810725,591.52,0.8468615811318159,192,2.271716637698785
130,1331200,1076.75,3750.0,1.6585143692791462,15.968719339370727,0.0024763107985908334,420.00000000000006,0.132861328125,0.32216686396859584,-0.011647753038414522,583.74,0.8706801984459162,192,2.122516982486771
131,1341440,1074.0,3757.500000000001,1.6496835455298424,15.96871919631958,0.0021777704023751587,420.00000000000006,0.146044921875,0.6361381847644225,-0.01068442377145402,577.41,0.8239508036524057,192,2.534973824819454
132,1351680,1075.75,3757.500000000001,1.6466096960008145,15.968719214200974,0.002240984855962239,375.0,0.1456787109375,0.6911063210573047,-0.012108044770138804,566.04,0.8371233101934195,192,2.249505459078731
133,1361920,1135.0,3827.5,1.6255783438682556,15.968719345331191,0.002812450038323198,375.0,0.1903076171875,0.4198998966021463,-0.012513445400873024,572.17,0.8816787216812372,192,2.223926587746223
134,1372160,1046.0,3757.500000000001,1.6353301122784614,15.96871930360794,0.0023685059576113573,375.0,0.1597900390625,0.7290617794729769,-0.012001291555861826,571.01,0.8108580503612757,192,2.6216366942228793
135,1382400,1053.0,3827.5,1.6452415458858014,15.968719345331191,0.0029435049949828773,375.0,0.1740966796875,0.21458941348828375,-0.012510379030936747,579.89,0.8960565391927957,192,2.1324684866974284
136,1392640,1277.25,3975.0,1.6260188676416873,15.968719339370727,0.002121719048034657,475.0,0.1369140625,1.2613546609180049,-0.01060834586569399,601.47,0.760421784594655,192,3.2656554768898878
137,1402880,1281.75,3900.0,1.6431907072663308,15.968719315528869,0.0020382910207335358,497.5,0.128125,0.644606904941611,-0.011493865108059253,607.47,0.8208339035511016,192,2.6705963610941312
