PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
78.0,251,0.05226960147623365,15.968716812133788,175.0,0.003507910736470876,93,952320,-0.0013802324265270727,3.725290298461914e-09,0.005398937023983308,1.7103700906038284,0.314501953125,304.25,0.0
93.0,251,0.054875538879905164,15.968717843294144,200.0,0.002763147562109225,94,962560,-0.0013529401454434264,-7.078051567077636e-09,0.007491953359203762,1.6836995109915733,0.23857421875,305.5,25.0
100.25,251,0.05280887521857049,15.968717002868653,225.0,0.0024961931907427014,95,972800,-0.0012600025125721003,-1.2293457984924316e-08,0.006889064470715312,1.6085362605750562,0.204443359375,310.71,22.500000000000007
114.5,250,0.055306555306330205,15.968717783689499,227.5000000000002,0.0023792437958491063,96,983040,-0.0013300759150297382,1.4901161193847657e-09,0.008310152254853164,1.5763821817934514,0.201953125,313.67,25.0
108.25,250,0.053870301504857054,15.96871742606163,225.0,0.00242414781687188,97,993280,-0.0009862517494184432,-1.30385160446167e-08,0.006252829951336025,1.595603371411562,0.2196533203125,313.39,25.0
116.5,250,0.057810197410987085,15.968717813491821,225.0,0.0029983859355297683,98,1003520,-0.0010678128986910452,7.078051567077636e-09,0.01131203262048075,1.6459127187728881,0.2289794921875,311.54,25.0
137.25,250,0.06075570523586139,15.968717873096466,275.0,0.0025971736395320024,99,1013760,-0.0010042283807706553,7.82310962677002e-09,0.009957189668057254,1.643749751150608,0.2229248046875,318.83,25.0
159.25,250,0.05493109647925182,15.968717592954636,302.5000000000002,0.002452953343799891,100,1024000,-0.001407329808716895,-8.195638656616212e-09,0.00880074752476503,1.6602760285139084,0.2092529296875,323.62,25.0
155.25,250,0.05749027578392217,15.9687175989151,300.0,0.0027152509921847924,101,1034240,-0.0013892736860725563,-1.9371509552001954e-08,0.010627013636985793,1.6544696912169456,0.2232421875,322.86,25.0
165.25,250,0.05836394844549497,15.968717730045318,450.0,0.0023639534156927764,102,1044480,-0.0015351428723079153,2.2351741790771484e-09,0.0100391024383498,1.6166153967380523,0.21953125,321.92,25.0
180.25,250,0.05726938296795279,15.968717670440673,452.50000000000017,0.002394643244724648,103,1054720,-0.0012626860538148322,-3.3527612686157227e-09,0.009812646376303746,1.6000095091760158,0.2161376953125,326.89,25.0
