policy_gradient_bias_correction,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,frames,model_prob_std,q_loss,fps,episode_length,rollout_prob_std,avg_q_selected,epoch_idx,grad_norm,P01:episode_rewards,policy_gradient_loss,P09:episode_rewards,policy_entropy,avg_q_retraced
-2.6479267632787073e-07,0.0007516723529369346,-2.220036684196007e-06,0.0,-1053.355994748161,396000,8.396445871920745e-05,1.562628904579354e-08,394,3324.65,0.01079327442574366,7.708608267594606e-05,55,2.4706805476741163e-05,0.0,-1.9552439981525922e-06,0.0,2.1972247344823113,7.452003754628498e-05
-2.5663723208018445e-07,0.000762890487254582,-1.9767489893800825e-06,0.0,-1106.9283058152503,403200,8.494116135576433e-05,1.5891230713776368e-08,394,3324.62,0.009368828736010436,7.283906552012402e-05,56,2.5206201446346202e-05,0.0,-1.7201117538227496e-06,0.0,2.197224696827313,7.298848399292934e-05
-3.396936721138764e-07,0.0006536023841782222,-1.973871166977832e-06,0.0,-983.4352583476727,410400,7.681443238346547e-05,1.9744979638365103e-08,394,3324.62,0.012965758936496211,6.559018998179078e-05,57,2.7895164972091187e-05,0.0,-1.6341774953031575e-06,0.0,2.1972248049987058,6.263199844143163e-05
-3.7661271711427437e-07,0.0006861932528931061,-1.7783977607517946e-06,0.0,-785.4049050987838,417600,7.82220583239727e-05,1.880273916235626e-08,394,3324.62,0.018936650367656172,5.575968595559296e-05,58,2.779496713996386e-05,0.0,-1.401785034657966e-06,0.0,2.197224724532435,5.345186263145489e-05
-3.8001274499378577e-07,0.0006914924300938057,-1.603954733572251e-06,0.0,-772.4211867712542,424800,7.632451670114732e-05,1.3492593354700486e-08,394,3324.62,0.015319380324677476,5.770260804518079e-05,59,2.4372543245682447e-05,0.0,-1.2239419913732663e-06,0.0,2.197224821520861,5.465835986667246e-05
-3.233555785250643e-07,0.00060472654838891,-1.2696251598571831e-06,0.0,-1426.1049431872746,432000,6.788214366877813e-05,1.1907216319672644e-08,394,3324.62,0.014815621604333867,4.793291039299047e-05,60,2.200189208354466e-05,0.0,-9.462695775064665e-07,0.0,2.1972248790188442,4.632662950291613e-05
-2.737990423030872e-07,0.0008844989316134564,-1.3363033333839494e-06,0.0,-152.86809087345839,439200,0.00010021041118373209,1.9096748122104876e-08,393,3324.54,0.010121536064945369,4.24915375957286e-05,61,2.9010804369747887e-05,0.0,-1.0625042885608788e-06,0.0,2.1972244586767977,4.110614431430236e-05
-2.79636630807996e-07,0.0005789867789116258,-1.235240136492978e-06,0.0,-1753.135578153739,446400,6.61860556803933e-05,1.238290115167306e-08,393,3324.54,0.012387430801829672,4.13740572779687e-05,62,2.1902708667852473e-05,0.0,-9.556035050917355e-07,0.0,2.1972248932482703,4.015925870315562e-05
-1.0756391655301436e-07,0.000698049405083116,-5.919025782873628e-07,0.0,-172.88038929171034,453600,8.183463237617703e-05,2.15699213252788e-08,394,3324.54,0.007522037717445629,2.825634971017095e-05,63,2.8847895504256642e-05,0.0,-4.843386633791232e-07,0.0,2.197224780128747,2.900456921568968e-05
-1.6108633427990522e-07,0.0006002103976624619,-8.808969192620026e-07,0.0,-1454.732889690674,460800,7.056537632802554e-05,1.516315900672331e-08,394,3324.54,0.008604496205975453,3.8813104425101666e-05,64,2.0865451189574784e-05,0.0,-7.198105874227553e-07,0.0,2.197224806025947,3.8426648093828123e-05
